15,"INSERT INTO m.avl  (agency_id, trip_id, route_id, avl_lat, avl_lon, vehicle_id, destination_id, avl_time_hour, avl_time_minute, avl_date, route_short_name, block_ref) VALUES (#, @@@, @@@,#,#,#,#,#,#,&&&, @@@, @@@)"
2016-12-25 05:00:00,1
2016-12-25 05:02:00,1
2016-12-25 05:05:00,1
2016-12-25 05:07:00,1
2016-12-25 05:10:00,1
2016-12-25 05:18:00,1
2016-12-25 05:23:00,1
2016-12-25 05:26:00,1
2016-12-25 05:28:00,1
2016-12-25 05:31:00,1
2016-12-25 05:33:00,1
2016-12-25 05:36:00,1
2016-12-25 05:39:00,1
2016-12-25 05:41:00,1
2016-12-25 05:49:00,1
