340,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2016-12-18 05:00:00,10
2016-12-18 05:01:00,10
2016-12-18 05:02:00,9
2016-12-18 05:03:00,10
2016-12-18 05:04:00,10
2016-12-18 05:05:00,8
2016-12-18 05:06:00,4
2016-12-18 05:07:00,9
2016-12-18 05:08:00,9
2016-12-18 05:09:00,10
2016-12-18 05:10:00,10
2016-12-18 05:11:00,10
2016-12-18 05:12:00,9
2016-12-18 05:13:00,6
2016-12-18 05:14:00,14
2016-12-18 05:15:00,18
2016-12-18 05:16:00,17
2016-12-18 05:17:00,19
2016-12-18 05:18:00,16
2016-12-18 05:19:00,8
2016-12-18 05:20:00,18
2016-12-18 05:21:00,18
2016-12-18 05:22:00,18
2016-12-18 05:23:00,17
2016-12-18 05:24:00,18
2016-12-18 05:25:00,9
2016-12-18 05:26:00,17
2016-12-18 05:27:00,9
