177,"SELECT DISTINCT ea.agency_id, c.start_date FROM m.agency a, m.agency ea, m.calendar c WHERE a.agency_id = # AND ea.agency_id_id = a.agency_id_id AND ea.agency_id = c.agency_id AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date +#)*#)) >= # "
2016-12-18 05:00:00,8
2016-12-18 05:02:00,9
2016-12-18 05:05:00,7
2016-12-18 05:07:00,6
2016-12-18 05:10:00,7
2016-12-18 05:13:00,8
2016-12-18 05:15:00,7
2016-12-18 05:18:00,8
2016-12-18 05:20:00,7
2016-12-18 05:23:00,8
2016-12-18 05:26:00,8
2016-12-18 05:28:00,8
2016-12-18 05:31:00,8
2016-12-18 05:34:00,9
2016-12-18 05:36:00,9
2016-12-18 05:39:00,9
2016-12-18 05:42:00,9
2016-12-18 05:44:00,9
2016-12-18 05:47:00,9
2016-12-18 05:49:00,10
2016-12-18 05:52:00,11
2016-12-18 05:55:00,3
