172,SELECT a.agency_timezone FROM m.agency a WHERE a.agency_id = # 
2016-12-04 05:00:00,6
2016-12-04 05:02:00,5
2016-12-04 05:05:00,6
2016-12-04 05:07:00,6
2016-12-04 05:10:00,7
2016-12-04 05:13:00,8
2016-12-04 05:15:00,7
2016-12-04 05:18:00,9
2016-12-04 05:20:00,7
2016-12-04 05:23:00,7
2016-12-04 05:26:00,8
2016-12-04 05:28:00,8
2016-12-04 05:31:00,8
2016-12-04 05:33:00,8
2016-12-04 05:36:00,9
2016-12-04 05:39:00,9
2016-12-04 05:41:00,9
2016-12-04 05:44:00,8
2016-12-04 05:46:00,6
2016-12-04 05:47:00,4
2016-12-04 05:49:00,9
2016-12-04 05:52:00,10
2016-12-04 05:54:00,8
