1,"SELECT id, message_title, message, destination_screen, stamp FROM m.messages WHERE (device = $# OR device IS NULL) AND (agency_id = $# OR agency_id IS NULL) AND (device_id = $# OR device_id IS NULL) AND (app_version = $# OR app_version IS NULL) AND (NOW() >= start_date OR start_date IS NULL) AND (NOW() < end_date OR end_date IS NULL) AND (trigger_cond = $# OR trigger_cond IS NULL) AND (SELECT COUNT(*) FROM m.popup_user_log WHERE device_id = $# AND date_trunc( @@@, stamp) = CURRENT_DATE) < #ORDER BY num_conditions DESC LIMIT #"
2017-01-19 00:29:00,1
